created_at,entry_id,field1,field2,field3
2023-04-29 21:15:55 UTC,2353,,,29.0
2023-04-29 21:16:12 UTC,2354,214.0,,
2023-04-29 21:16:30 UTC,2355,,47.0,
2023-04-29 21:16:47 UTC,2356,,,29.0
2023-04-29 21:17:05 UTC,2357,214.0,,
2023-04-29 21:17:22 UTC,2358,,47.0,
2023-04-29 21:17:39 UTC,2359,,,29.0
2023-04-29 21:17:57 UTC,2360,214.0,,
2023-04-29 21:18:14 UTC,2361,,47.0,
2023-04-29 21:18:32 UTC,2362,,,29.0
2023-04-29 21:18:49 UTC,2363,214.0,,
2023-04-29 21:19:07 UTC,2364,,47.0,
2023-04-29 21:19:24 UTC,2365,,,29.0
2023-04-29 21:19:41 UTC,2366,214.0,,
2023-04-29 21:19:59 UTC,2367,,47.0,
2023-04-29 21:20:16 UTC,2368,,,29.0
2023-04-29 21:20:33 UTC,2369,214.0,,
2023-04-29 21:20:51 UTC,2370,,47.0,
2023-04-29 21:21:08 UTC,2371,,,29.0
2023-04-29 21:21:26 UTC,2372,214.0,,
2023-04-29 21:21:43 UTC,2373,,47.0,
2023-04-29 21:22:01 UTC,2374,,,29.0
2023-04-29 21:22:18 UTC,2375,214.0,,
2023-04-29 21:22:35 UTC,2376,,47.0,
2023-04-29 21:22:53 UTC,2377,,,29.0
2023-04-29 21:23:10 UTC,2378,214.0,,
2023-04-29 21:23:27 UTC,2379,,47.0,
2023-04-29 21:23:45 UTC,2380,,,29.0
2023-04-29 21:24:21 UTC,2381,,47.0,
2023-04-29 21:24:38 UTC,2382,,,29.0
2023-04-29 21:24:56 UTC,2383,214.0,,
2023-04-29 21:25:13 UTC,2384,,47.0,
2023-04-29 21:25:30 UTC,2385,,,29.0
2023-04-29 21:26:25 UTC,2386,,,29.0
2023-04-29 21:26:42 UTC,2387,214.0,,
2023-04-29 21:26:59 UTC,2388,,47.0,
2023-04-29 21:27:17 UTC,2389,,,29.0
2023-04-29 21:27:34 UTC,2390,214.0,,
2023-04-29 21:27:59 UTC,2391,,47.0,
2023-04-29 21:28:16 UTC,2392,,,29.0
2023-04-29 21:28:42 UTC,2393,,47.0,
2023-04-29 21:29:18 UTC,2394,,47.0,
2023-04-29 21:29:35 UTC,2395,,,29.0
2023-04-29 21:29:53 UTC,2396,214.0,,
2023-04-29 21:30:10 UTC,2397,,47.0,
2023-04-29 21:30:27 UTC,2398,,,29.0
2023-04-29 21:30:45 UTC,2399,214.0,,
2023-04-29 21:31:02 UTC,2400,,46.0,
2023-04-29 21:31:20 UTC,2401,,,29.0
2023-04-29 21:31:37 UTC,2402,214.0,,
2023-04-29 21:31:55 UTC,2403,,46.0,
2023-04-29 21:32:12 UTC,2404,,,29.0
2023-04-29 21:32:29 UTC,2405,214.0,,
2023-04-29 21:32:47 UTC,2406,,46.0,
2023-04-29 21:33:04 UTC,2407,,,29.0
2023-04-29 21:33:58 UTC,2408,,,29.0
2023-04-29 21:34:16 UTC,2409,214.0,,
2023-04-29 21:34:33 UTC,2410,,46.0,
2023-04-29 21:34:51 UTC,2411,,,29.0
2023-04-29 21:35:08 UTC,2412,214.0,,
2023-04-29 21:35:25 UTC,2413,,46.0,
2023-04-29 21:35:46 UTC,2414,,,29.0
2023-04-29 21:36:18 UTC,2415,,46.0,
2023-04-29 21:36:35 UTC,2416,,,29.0
2023-04-29 21:36:53 UTC,2417,214.0,,
2023-04-29 21:37:10 UTC,2418,,46.0,
2023-04-29 21:37:27 UTC,2419,,,29.0
2023-04-29 21:37:45 UTC,2420,214.0,,
2023-04-29 21:38:02 UTC,2421,,46.0,
2023-04-29 21:38:19 UTC,2422,,,29.0
2023-04-29 21:38:37 UTC,2423,214.0,,
2023-04-29 21:38:54 UTC,2424,,46.0,
2023-04-29 21:39:49 UTC,2425,,46.0,
2023-04-29 21:40:06 UTC,2426,,,29.0
2023-04-29 21:40:23 UTC,2427,214.0,,
2023-04-29 21:40:41 UTC,2428,,46.0,
2023-04-29 21:40:58 UTC,2429,,,29.0
2023-04-29 21:41:16 UTC,2430,214.0,,
2023-04-29 21:41:44 UTC,2431,,,29.0
2023-04-29 21:42:01 UTC,2432,214.0,,
2023-04-29 21:42:38 UTC,2433,,,29.0
2023-04-29 21:42:55 UTC,2434,214.0,,
2023-04-29 21:43:13 UTC,2435,,46.0,
2023-04-29 21:43:30 UTC,2436,,,29.0
2023-04-29 21:43:47 UTC,2437,214.0,,
2023-04-29 21:44:05 UTC,2438,,46.0,
2023-04-29 21:44:28 UTC,2439,,46.0,
2023-04-29 21:44:45 UTC,2440,,,29.0
2023-04-29 21:45:03 UTC,2441,214.0,,
2023-04-29 21:45:20 UTC,2442,,46.0,
2023-04-29 21:45:37 UTC,2443,,,29.0
2023-04-29 21:45:55 UTC,2444,214.0,,
2023-04-29 21:46:12 UTC,2445,,46.0,
2023-04-29 21:46:30 UTC,2446,,,29.0
2023-04-29 21:46:47 UTC,2447,214.0,,
2023-04-29 21:47:04 UTC,2448,,46.0,
2023-04-29 21:47:22 UTC,2449,,,29.0
2023-04-29 21:47:39 UTC,2450,214.0,,
2023-04-29 21:47:57 UTC,2451,,46.0,
2023-04-29 21:48:14 UTC,2452,,,29.0
